state,d,r,votes,abbr
Alabama,0,1,9,AL
Alaska,0,1,3,AK,
Arizona,1,0,11,AZ
Arkansas,0,1,6,AR
Colorado,1,0,9,CO
Connecticut,1,0,7,CT
Delaware,1,0,3,DE
South Carolina,0,1,9,SC
South Dakota,0,1,3,SD
Florida,0,1,29,FL
Georgia,1,0,16,GA
Hawaii,1,0,4,HI
Idaho,0,1,4,ID
Illinois,1,0,20,IL
Indiana,0,1,11,IN
Iowa,0,1,6,IA
California,1,0,55,CA
Kansas,0,1,6,KS
Kentucky,0,1,8,KY
Louisiana,0,1,8,LA
West Virginia,0,1,5,WV
Maine,1,0,2,ME
Maine 1st,1,0,1,
Maine 2nd,0,1,1,
Maryland,1,0,10,MD
Massachusetts,1,0,11,MA
Michigan,1,0,16,MI
Minnesota,1,0,10,MN
Mississippi,0,1,6,MS
Missouri,0,1,10,MO
Montana,0,1,3,MT
Nebraska,0,1,2,NE
Nebraska 1st,0,1,1,
Nebraska 2nd,1,0,1,
Nebraska 3rd,0,1,1,
Nevada,1,0,6,NV
New Hampshire,1,0,4,NH
New Jersey,1,0,14,NJ
New Mexico,1,0,5,NM
New York,1,0,29,NY
Ohio,0,1,18,OH
Oklahoma,0,1,7,OK
Oregon,1,0,7,OR
Pennsylvania,1,0,20,PA
North Carolina,0,1,15,NC
North Dakota,0,1,3,ND
Rhode Island,1,0,4,RI
Tennessee,0,1,11,TN
Texas,0,1,38,TX
Utah,0,1,6,UT
Vermont,1,0,3,VT
Virginia,1,0,13,VA
Washington,1,0,12,WA
Washington D.C.,1,0,3,DC
Wisconsin,1,0,10,WI
Wyoming,0,1,3,WY
